site,array,site_name,assembly_name,assembly_type,instrument_class,instrument_name,instrument_model,mindepth,maxdepth,node,method,stream,sensor,latitude,longitude,depth,water_depth
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,mopak,3-Axis Motion Pack,3DM-GX3-25,0.0,0.0,SBD17,recovered_host,mopak_o_dcl_accel_recovered,01-MOPAK0000,44.65828,-124.0956,0.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,mopak,3-Axis Motion Pack,3DM-GX3-25,0.0,0.0,SBD17,telemetered,mopak_o_dcl_accel,01-MOPAK0000,44.65828,-124.0956,0.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,velpt,Single Point Velocity Meter,Aquadopp 300m,1.0,1.0,SBD17,recovered_host,velpt_ab_dcl_instrument_recovered,04-VELPTA000,44.65828,-124.0956,1.6,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,velpt,Single Point Velocity Meter,Aquadopp 300m,1.0,1.0,SBD17,recovered_inst,velpt_ab_instrument_recovered,04-VELPTA000,44.65828,-124.0956,1.6,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,velpt,Single Point Velocity Meter,Aquadopp 300m,1.0,1.0,SBD17,telemetered,velpt_ab_dcl_instrument,04-VELPTA000,44.65828,-124.0956,1.6,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,ctdbp,CTD,SBE 16plusV2,1.0,1.0,SBD17,recovered_host,ctdbp_cdef_dcl_instrument_recovered,06-CTDBPC000,44.65833,-124.09583,1.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,ctdbp,CTD,SBE 16plusV2,1.0,1.0,SBD17,recovered_inst,ctdbp_cdef_instrument_recovered,06-CTDBPC000,44.65833,-124.09583,1.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,ctdbp,CTD,SBE 16plusV2,1.0,1.0,SBD17,telemetered,ctdbp_cdef_dcl_instrument,06-CTDBPC000,44.65833,-124.09583,1.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,flort,3-Wavelength Fluorometer,ECO Triplet-w,1.0,1.0,SBD17,recovered_host,flort_sample,06-FLORTD000,44.65833,-124.09583,1.5,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,flort,3-Wavelength Fluorometer,ECO Triplet-w,1.0,1.0,SBD17,recovered_inst,flort_sample,06-FLORTD000,44.65833,-124.09583,1.5,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Surface Buoy,buoy,flort,3-Wavelength Fluorometer,ECO Triplet-w,1.0,1.0,SBD17,telemetered,flort_sample,06-FLORTD000,44.65833,-124.09583,1.5,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,optaa,Spectrophotometer,AC-S,7.0,7.0,RID16,recovered_host,optaa_dj_dcl_instrument_recovered,01-OPTAAD000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,optaa,Spectrophotometer,AC-S,7.0,7.0,RID16,telemetered,optaa_dj_dcl_instrument,01-OPTAAD000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,flort,3-Wavelength Fluorometer,ECO Triplet-w,7.0,7.0,RID16,recovered_host,flort_sample,02-FLORTD000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,flort,3-Wavelength Fluorometer,ECO Triplet-w,7.0,7.0,RID16,telemetered,flort_sample,02-FLORTD000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,ctdbp,CTD,SBE 16plusV2,7.0,7.0,RID16,recovered_host,ctdbp_cdef_dcl_instrument_recovered,03-CTDBPC000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,ctdbp,CTD,SBE 16plusV2,7.0,7.0,RID16,recovered_inst,ctdbp_cdef_instrument_recovered,03-CTDBPC000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,ctdbp,CTD,SBE 16plusV2,7.0,7.0,RID16,telemetered,ctdbp_cdef_dcl_instrument,03-CTDBPC000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,dosta,Dissolved Oxygen,Optode 4831,7.0,7.0,RID16,recovered_host,dosta_abcdjm_ctdbp_dcl_instrument_recovered,03-DOSTAD000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,dosta,Dissolved Oxygen,Optode 4831,7.0,7.0,RID16,recovered_inst,dosta_abcdjm_ctdbp_instrument_recovered,03-DOSTAD000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,dosta,Dissolved Oxygen,Optode 4831,7.0,7.0,RID16,telemetered,dosta_abcdjm_ctdbp_dcl_instrument,03-DOSTAD000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,velpt,Single Point Velocity Meter,Aquadopp 300m,7.0,7.0,RID16,recovered_host,velpt_ab_dcl_instrument_recovered,04-VELPTA000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,velpt,Single Point Velocity Meter,Aquadopp 300m,7.0,7.0,RID16,recovered_inst,velpt_ab_instrument_recovered,04-VELPTA000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,velpt,Single Point Velocity Meter,Aquadopp 300m,7.0,7.0,RID16,telemetered,velpt_ab_dcl_instrument,04-VELPTA000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,pco2w,pCO2 Water,SAMI-pCO2,7.0,7.0,RID16,recovered_host,pco2w_abc_dcl_instrument_recovered,05-PCO2WB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,pco2w,pCO2 Water,SAMI-pCO2,7.0,7.0,RID16,recovered_inst,pco2w_abc_dcl_instrument_recovered,05-PCO2WB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,pco2w,pCO2 Water,SAMI-pCO2,7.0,7.0,RID16,telemetered,pco2w_abc_dcl_instrument,05-PCO2WB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,phsen,Seawater pH,SAMI-pH,7.0,7.0,RID16,recovered_host,phsen_abcdef_dcl_instrument_recovered,06-PHSEND000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,phsen,Seawater pH,SAMI-pH,7.0,7.0,RID16,recovered_inst,phsen_abcdef_instrument,06-PHSEND000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,phsen,Seawater pH,SAMI-pH,7.0,7.0,RID16,telemetered,phsen_abcdef_dcl_instrument,06-PHSEND000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,nutnr,Nitrate,ISUS,7.0,7.0,RID16,recovered_host,suna_dcl_recovered,07-NUTNRB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,nutnr,Nitrate,ISUS,7.0,7.0,RID16,recovered_inst,suna_instrument_recovered,07-NUTNRB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,nutnr,Nitrate,ISUS,7.0,7.0,RID16,telemetered,suna_dcl_recovered,07-NUTNRB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,spkir,Spectral Irradiance,OCR507 ICSW,7.0,7.0,RID16,recovered_host,spkir_abj_dcl_instrument_recovered,08-SPKIRB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Near Surface Instrument Frame,midwater,spkir,Spectral Irradiance,OCR507 ICSW,7.0,7.0,RID16,telemetered,spkir_abj_dcl_instrument,08-SPKIRB000,44.65828,-124.0956,7.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,vel3d,3-D Single Point Velocity Meter,VECTOR,25.0,25.0,MFD35,recovered_host,"['vel3d_cd_dcl_velocity_data_recovered', 'vel3d_cd_dcl_system_data_recovered', 'vel3d_cd_dcl_data_header_recovered']",01-VEL3DD000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,vel3d,3-D Single Point Velocity Meter,VECTOR,25.0,25.0,MFD35,recovered_inst,"['vel3d_cd_dcl_velocity_data_recovered', 'vel3d_cd_dcl_system_data_recovered', 'vel3d_cd_dcl_data_header_recovered']",01-VEL3DD000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,vel3d,3-D Single Point Velocity Meter,VECTOR,25.0,25.0,MFD35,telemetered,"['vel3d_cd_dcl_velocity_data', 'vel3d_cd_dcl_system_data', 'vel3d_cd_dcl_data_header']",01-VEL3DD000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,presf,Seafloor Pressure,SBE 26plus,25.0,25.0,MFD35,recovered_host,presf_abc_dcl_tide_measurement_recovered,02-PRESFA000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,presf,Seafloor Pressure,SBE 26plus,25.0,25.0,MFD35,recovered_inst,presf_abc_tide_measurement_recovered,02-PRESFA000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,presf,Seafloor Pressure,SBE 26plus,25.0,25.0,MFD35,telemetered,presf_abc_dcl_tide_measurement,02-PRESFA000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,adcpt,Velocity Profiler (600kHz),WorkHorse Sentinel 600khz,25.0,25.0,MFD35,recovered_host,adcp_velocity_earth,04-ADCPTM000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,adcpt,Velocity Profiler (600kHz),WorkHorse Sentinel 600khz,25.0,25.0,MFD35,recovered_inst,adcp_velocity_earth,04-ADCPTM000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,adcpt,Velocity Profiler (600kHz),WorkHorse Sentinel 600khz,25.0,25.0,MFD35,telemetered,adcp_velocity_earth,04-ADCPTM000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,wavss,Surface Wave Spectra,WorkHorse Sentinel 600khz,25.0,25.0,MFD35,recovered_inst,adcpt_m_instrument_log9_recovered,04-ADCPTM000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,pco2w,pCO2 Water,SAMI-pCO2,25.0,25.0,MFD35,recovered_host,pco2w_abc_dcl_instrument_recovered,05-PCO2WB000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,pco2w,pCO2 Water,SAMI-pCO2,25.0,25.0,MFD35,recovered_inst,pco2w_abc_dcl_instrument_recovered,05-PCO2WB000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,pco2w,pCO2 Water,SAMI-pCO2,25.0,25.0,MFD35,telemetered,pco2w_abc_dcl_instrument,05-PCO2WB000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,phsen,Seawater pH,SAMI-pH,25.0,25.0,MFD35,recovered_host,phsen_abcdef_dcl_instrument_recovered,06-PHSEND000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,phsen,Seawater pH,SAMI-pH,25.0,25.0,MFD35,recovered_inst,phsen_abcdef_instrument,06-PHSEND000,44.65828,-124.0956,25.0,25.0
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,Seafloor Multi-Function Node (MFN),seafloor,phsen,Seawater pH,SAMI-pH,25.0,25.0,MFD35,telemetered,phsen_abcdef_dcl_instrument,06-PHSEND000,44.65828,-124.0956,25.0,25.0
